SUPPLY and CONSUMPTION,Coal and Peat,Crude Oil,Oil Products,Natural Gas,Nuclear,Hydro,"Geothermal Solar, etc.",Biofuels and Waste,Electricity,Heat,Total*
Production,0,1014.5,0,28197,551,4,217.5,1540,0,0,31524
Imports,6110,30601,38674.5,9191.5,0,0,0,354.5,664.5,0,85595.5
Exports,-1462,-1251,-44787.5,-19922,0,0,0,-159,-454,0,-68035.5
International Marine Bunkers**,0,0,-7002,0,0,0,0,0,0,0,-7002
International Aviation Bunkers**,0,0,-1728.5,0,0,0,0,0,0,0,-1728.5
Stock Changes,-917.5,-206,-151,14,0,0,0,-5.5,0,0,-1266.5
TPES,3730.5,30158.5,-14995,17480,551,4,217.5,1730,210.5,0,39087.5
Transfers,0,-218.5,250.5,0,0,0,0,0,0,0,32
Statistical Differences,-4,205.5,-334.5,0,0,0,0,0,0,0,-133
Electricity Plants,-1692.5,0,0,-1938.5,-551,-4,-204.5,-420.5,2261.5,0,-2550
CHP Plants,-1008,0,-204,-4226.5,0,0,0,-737,2619,1487,-2069.5
Heat Plants,0,0,0,-126,0,0,0,-114,0,199.5,-40.5
Gas Works,0,0,-65.5,58.5,0,0,0,-4.5,0,0,-11.5
Oil Refineries,0,-29747.5,29378,0,0,0,0,0,0,0,-369.5
Coal Transformation,-571.5,0,0,0,0,0,0,0,0,0,-571.5
Liquefaction Plants,0,0,0,0,0,0,0,0,0,0,0
Other Transformation,0,1765.5,-1832.5,0,0,0,0,-2,0,-170.5,-239.5
Energy Industry Own Use,-73.5,0,-1172,-731,0,0,0,0,-431.5,-234,-2642.5
Losses,0,0,0,0,0,0,0,0,-189.5,-253,-442.5
TFC,381,2164,11025.5,10517,0,0,13,451.5,4470,1028.5,30050
Industry,277,973,144,2390.5,0,0,0,64.5,1560,518,5927
Transport,0,0,5487.5,0.5,0,0,0,186.5,71.5,0,5746
Other,4,0,520,7137,0,0,13,200.5,2838.5,510.5,11223
Residential,2.5,0,31.5,3730,0,0,10,149.5,1038.5,133,5094.5
Commercial and Public Services,1.5,0,209,2476.5,0,0,1.5,22,1451,309,4470.5
Agriculture / Forestry,0,0,248.5,930.5,0,0,1.5,29,348.5,68.5,1626.5
Fishing,0,0,25.5,0,0,0,0,0,0,0,25.5
Non-Specified,0,0,5.5,0,0,0,0,0,0,0,5.5
Non-Energy Use,100,1190.5,4874,989.5,0,0,0,0,0,0,7154
of which Petrochemical Feedstocks,54,1190.5,4036,989.5,0,0,0,0,0,0,6270.5
