key,co2_conversion_per_mj,cost_per_mj,potential_co2_conversion_per_mj
ambient_cold,0.0,0.0,
ambient_heat,0.0,0.0,
bio_ethanol,0.0,0.044562085,0.0708
bio_kerosene,0.0,0.027637281,0.0796
bio_lng,0.0,0.017,0.0546
bio_oil,0.0,0.015480927,0.074566667
biodiesel,0.0,0.028960044,0.0708
biogas,0.0,0.015833333,0.0546
biogenic_waste,0.0,0.0,0.1
co,0.155586987,0.0,
co2,0.0,0.0,
coal,0.091980554103,0.002222222,
coal_gas,0.0926835,0.002522094,
cokes,0.0926835,0.002522094,
crude_oil,0.071717449674,0.010462929,
diesel,0.073651077789,0.015214673,
dry_biomass,0.0,0.002883,
electricity,0.0,0.0,
gasoline,0.070087044543,0.016130065,
geothermal,0.0,0.0,
greengas,0.0,0.017658333,0.0546
heavy_fuel_oil,0.076434301527,0.014813827,
hydrogen,0.0,0.016711948,
imported_electricity,0.097500078,0.010444444,
imported_heat,0.03597,0.011569444,
imported_hydrogen,0.078,0.016711948,
kerosene,0.071691106177,0.010081803,
light,0.0,0.0,
lignite,0.1012,0.0011,
lng,0.0559,0.006723917,
loss,0.0,0.0,
lpg,0.063843994041,0.015188765,
methanol,0.0691,0.012898,
natural_gas,0.056371182077,0.003888889,
non_biogenic_waste,0.080209557388,0.0,
not_defined,0.0,0.0,
oil_products,0.0755,0.005060687,
oily_biomass,0.0,0.01352924,0.0
refinery_gas,0.0755,0.005060687,
residual_heat,0.0,0.0,
solar_radiation,0.0,0.0,
solar_thermal,0.0,0.0,
steam_hot_water,0.0,0.0,
torrefied_biomass_pellets,0.0,0.0062587,0.112
uranium_oxide,0.000155982,0.000155982,
useable_heat,0.0,0.0,
water,0.0,0.0,
wet_biomass,0.0,0.0,
wind,0.0,0.0,
wood_pellets,0.0,0.008321111,0.112
